URL,Positive,Total
http://factorybeta.preferati.com/leigh/index.html,10,64
http://mint.ocn.ne.jp,0,68
http://www.pluchinotta.gov.it:8291/-/?uid=abuse@ig.com.br,4,64
http://msgw002-02.ocn.ad.jp,N/A,N/A
http://x2tbz.temp.swtest.ru/AtendimentoOnlineMaio/,4,64
http://www.leienbobil.no/components/com_contact/acessos/?uid&amp;,N/A,N/A
http://www.pluchinotta.gov.it:8291/-/?uid=abuse@ig.com.br,4,64
http://www.pluchinotta.gov.it:8291/-/?uid=abuse@globo.com,2,64
http://www.bazouroslawoffice.gr/en/index/acesspf/santandernet/login.do/tmp/aaf.htm,3,64
http://mobsantand.temp.swtest.ru/AtualizaMaio/,4,64
http://computecqtro.com/,1,64
http://linetrip.tk/c8fd7e3d6/signin.php,3,64
http://novobanconet1.jelastic.regruhosting.ru/,0,64
http://santander-solucoes.com/,5,64
https://stobblek.nl/cpanel/k/T/Y1.html,1,64
http://sarmawola.pl/signin/,13,64
http://bsteam.am/wp-includes/js/plupload/log/919ab/security/signin/,4,64
http://ecube.aero/blocks/autonav/templates/sitenav/autonumgmail/others/?rand=13inboxlightaspxn.1774256418&amp;amp,N/A,N/A
http://bestlight.gr/skin/frontend/default/modern/images/media/,8,64
http://emmanuelcoalitionforchange.com/temp/healthgov/index.php,5,64
http://portal.exito.tuyco.xyz/PortalTransaccional/login.aspx.html,1,64
http://www.idahotherapy.com/XM/X/DHL/pu1671ng971b92pjx4pdqajk.php?rand=13InboxLightaspxn.1774256418&fid&1252899642&fid.1&fav.1,9,64
http://www.idahotherapy.com/XM/X/DHL/index.php,8,64
http://dobrymotor.pl/HNDSYUN7362/Adobe.pdf/adobe.php?email=abuse@huawei.com,N/A,N/A
http://www.avanta-acad.com.sg/admin/dee/login.jsp.htm,3,64
http://www.tinyurl.com/kbtetvp/,2,64
https://verification-accountsummary-required.com/webapps/2e15a/websrc,5,64
http://supporto-digitale.info/cartasi_email.html,6,64
http://liliforms.com/system/logs/.../owa/WebAdmin/Outlook%20Web%20App.htm,10,64
http://supporto-informatici.info/cartasi_email.html,11,64
http://www.transxxx.ru/media/media/www.dropbox.com/view.htm,6,65
http://flashoverart.com/slash/hotis/index.php,8,64
http://robashburn.com/g/ayo1/index.html,3,64
http://motivatetheweb.com/IWA/GD/index.php,7,64
http://bcol.barclaycard.co.uk.ecom.as2.initiallogon.do.x.49.y.35tc.qxbca23302.australianuniversity.com.au/cloudit/f410ac28c8c68f5c8a37811aad1ec985/verify-details.html,5,63
