IP,LongURL,PreSuffix,SubDomain,@Symbol,TLDInPath,SuspiciousWords,PunctuationSymbols,DigitsInDomain,Entropy,KLDivergence,Phishy
0,0,0,0,0,1,0,0,0,2.730673042,0.271666756,1
0,0,0,1,0,0,0,0,0,2.176185662,0.990870374,0
0,1,0,1,0,1,0,0,1,2.80080606,0.33900026,0
0,0,0,1,0,0,0,0,1,2.609456853,0.391374991,0
0,1,0,1,0,1,0,0,1,2.80080606,0.33900026,0
0,1,0,1,0,1,0,0,1,2.748537281,0.385937581,0
0,2,0,0,0,1,0,0,0,2.886116784,0.182727039,0
0,0,0,1,0,0,0,0,0,2.620506216,0.359372022,0
0,0,0,0,0,0,0,0,0,2.159731616,1.077873972,0
0,0,0,0,0,1,0,0,0,2.471838357,0.575712202,0
0,0,0,1,0,0,0,0,1,2.705131457,0.296495193,0
0,0,1,0,0,0,0,0,0,2.535025162,0.306292639,1
0,0,0,0,0,1,0,0,0,2.525673332,0.653385362,0
0,0,0,0,0,0,0,0,0,2.491493722,0.485667531,1
0,1,0,0,0,0,1,0,0,2.873426544,0.267719958,0
0,1,0,0,0,0,0,0,0,2.75219803,0.173532031,1
0,1,0,0,0,1,0,0,0,2.723305524,0.300455206,1
0,1,0,1,0,1,0,0,0,2.704186659,0.484635205,0
0,2,0,0,0,1,0,0,0,3.007217696,0.505927571,1
0,0,0,0,0,1,0,0,0,2.64000332,0.529447476,1
0,0,1,1,0,1,1,0,0,2.724073613,0.400396325,0
0,0,0,0,0,0,0,0,0,2.647665464,0.634012577,0
0,1,1,0,0,0,0,0,0,2.834807612,0.255040434,1
0,0,1,0,0,1,0,0,0,2.659831798,0.236871916,1
0,1,0,0,0,1,0,0,0,2.817130383,0.277342574,1
0,0,1,0,0,1,0,0,0,2.579880458,0.331156825,1
0,1,0,0,0,1,0,0,0,2.726647319,0.656728676,1
0,0,0,0,0,1,0,0,0,2.676587305,0.332250174,1
0,0,0,0,0,1,0,0,0,2.840564635,0.299623153,0
0,0,0,0,0,1,0,0,0,2.589766588,0.524194536,1
0,2,0,2,0,1,0,0,1,2.865502422,0.264184811,1
0,2,0,2,0,1,0,1,1,2.920158079,0.230992678,1
0,0,0,0,0,0,0,0,0,2.499064903,0.517244404,0
0,2,0,0,0,1,1,0,0,2.83955457,0.343833901,0
0,1,0,0,0,1,0,0,0,2.635800149,0.320460628,1
0,2,0,0,0,0,0,0,0,2.795832388,0.180785292,1
0,0,0,0,0,1,0,0,0,2.650052705,0.415771313,1
0,0,0,0,0,0,0,0,0,2.031759219,1.056841845,1
0,0,0,0,0,0,0,0,0,2.707182704,0.292864939,1
0,2,0,0,0,0,0,0,0,2.692805881,0.35515146,1
0,0,0,0,0,1,0,0,0,2.749533802,0.54259127,1
0,0,0,0,0,0,0,0,0,2.601568303,0.398078233,1
0,0,0,1,0,0,0,0,0,2.416253942,0.697758613,1
0,0,0,0,0,0,0,0,0,2.655725387,0.378637743,1
0,0,0,0,0,0,0,0,0,2.655725387,0.378637743,1
0,1,1,0,0,1,0,0,0,2.875006817,0.152998862,1
0,0,0,0,0,0,0,0,0,2.647208209,0.590048605,1
0,2,0,0,0,0,0,0,0,2.65588399,0.470331574,1
0,2,0,0,0,0,1,0,0,2.802019665,0.31317093,1
